manufacturer,product type,flash memory installed,diagonal size,battery,supported digital audio standards,estimated battery life
"Cowon Systems, Inc.",,,,"Capacity,Rechargeable Battery,Required Qty,Battery Life Details,Battery Life Details,Battery Enclosure Type,Technology,",,
"Cowon Systems, Inc.",,,,"Rechargeable Battery,Battery Life Details,Battery Life Details,Battery Enclosure Type,Technology,Recharge Time,",,
"Cowon Systems, Inc.",,,,"Rechargeable Battery,Battery Life Details,Battery Life Details,Battery Enclosure Type,Technology,Recharge Time,",,
"Cowon Systems, Inc.",,,,"Rechargeable Battery,Battery Life Details,Battery Life Details,Battery Enclosure Type,Technology,Recharge Time,",,
"Cowon Systems, Inc.",,,,"Capacity,Rechargeable Battery,Required Qty,Battery Life Details,Battery Life Details,Battery Enclosure Type,Technology,",,
C. Crane Company,"Flash player,","2 GB,",,"Lithium polymer,",,
SanDisk,"Digital player,",,,"1 x AAA type Standard batteryInternal,","MP3,,WMA,","15 hour(s),"
SanDisk,"Digital player,",,,"AAA alkaline,1 x AAA type Standard batteryInternal,","MP3,,WMA,","15 hour(s),"
SanDisk,"Digital player,",,,"AAA alkaline,1 x AAA type Standard batteryInternal,","MP3,,WMA,","15 hour(s),"
SanDisk,"Digital player,",,,"AAA alkaline,1 x AAA type Standard batteryInternal,","MP3,,WMA,","15 hour(s),"
SanDisk,"Digital player,",,,"AAA alkaline,1 x AAA type Standard batteryInternal,","MP3,,WMA,","15 hour(s),"
Sony,"Digital player / radio,","4 GB Integrated,","2 in,","Lithium ion Rechargeable Player batteryIntegrated,","MP3,,WMA,,AAC,,PCM,","45 hour(s),"
Sony,"Digital player / radio,","4 GB Integrated,","2 in,","Lithium ion Rechargeable Player batteryIntegrated,","MP3,,WMA,,AAC,,PCM,","45 hour(s),"
Sony,"Digital player / radio,","8 GB Integrated,","2 in,","Lithium ion Rechargeable Player batteryIntegrated,","MP3,,WMA,,AAC,,PCM,","45 hour(s),"
Apple,"Digital player,",,"2.5 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","36 hour(s),"
Apple,"Digital player,",,"2.5 in,","Lithium ion Rechargeable Player batteryIntegrated,","Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,","36 hour(s),"
iRiver,"Digital player / radio,","8 GB Integrated,","3.3 in,","Lithium polymer Rechargeable Player batteryInternal,","MP3,,WMA,,APE (Monkey's Audio),,ASF,,FLAC,,Ogg Vorbis,","25 hour(s),"
iRiver,,,,,,
Sony,"Digital player / radio,","2 GB Integrated,",,"Lithium ion Rechargeable Player batteryIntegrated,","MP3,,WMA,","16 hour(s),"
Archos,,,,"Capacity,Rechargeable Battery,Required Qty,Battery Life Details,Battery Life Details,Battery Enclosure Type,Technology,",,
Archos,,,,"Capacity,Rechargeable Battery,Required Qty,Battery Life Details,Battery Life Details,Battery Enclosure Type,Technology,",,
Archos,,,,"Capacity,Rechargeable Battery,Required Qty,Battery Life Details,Battery Life Details,Battery Enclosure Type,Technology,",,
Microsoft,"Digital player / radio,",,"3.2 in,","Lithium ion Rechargeable Player batteryIntegrated,","WMAPro,,MP3,,WMA,,Audible,,AAC,","30 hour(s),"
"Slacker, Inc.",,,,,,
"Slacker, Inc.",,,,,,
Samsung,"Digital player / radio,","4 GB Integrated,","1.8 in,","Lithium polymer Rechargeable Player battery,","MP3,,WMA,","25 hour(s),"
Samsung,"Digital player / radio,","4 GB Integrated,","1.8 in,","Lithium polymer Rechargeable Player battery,","MP3,,WMA,","25 hour(s),"
Samsung,"Digital player / radio,","4 GB Integrated,","1.8 in,","Lithium polymer Rechargeable Player battery,","MP3,,WMA,","25 hour(s),"
