ID		manufacturer		product type		digital storage		flash memory installed		diagonal size		battery		supported digital audio standards		estimated battery life
33573225		Samsung		Digital player / radio,		None,		16 GB Integrated,		2.4 in,		Rechargeable Player batteryIntegrated,		MP3,,WMA,,FLAC,,Ogg Vorbis,		50 hour(s),		
33657490		Samsung		Digital player / radio,		None,		8 GB Integrated,		2.4 in,		Rechargeable Player batteryIntegrated,		MP3,,WMA,,FLAC,,Ogg Vorbis,		50 hour(s),		
33490456		Imation Enterprises										Rechargeable Battery,Included Qty,Battery Enclosure Type,Battery Life Details,Battery Life Details,						
33485030		Tonium		Digital player,		Built-in 60 GB Hard disk drive,				1.7 in,		Lithium ion Rechargeable Player battery,		MP3,,AIFF,,FLAC,,Ogg Vorbis,,AAC-LC,,WAV,		15 hour(s),		
33573206		Other product lines		Digital player / radio,		None,		8 GB Integrated,		2 in,		Lithium polymer Rechargeable Player batteryIntegrated,		MP3,,WMA,				
33568893		Other product lines		Digital player / radio,		None,		16 GB Integrated,		2 in,		Lithium polymer Rechargeable Player batteryIntegrated,		MP3,,Protected WMA (DRM),,WMA,		30 hour(s),,6 hour(s),		
33588472		iRiver		Digital player / radio,				16 GB Integrated,		4.3 in,		Lithium polymer Rechargeable Player battery,		MP3,,WMA,,APE (Monkey's Audio),,ASF,,FLAC,,Ogg Vorbis,,AC-3,,WAV,		50 hour(s),		
33490634		Sony		Digital player,		None,		2 GB Integrated,				Lithium ion Rechargeable Player batteryIntegrated,		MP3,,Protected WMA (DRM),,WMA,,AAC,		12 hour(s),		
33588493		Sony		Digital player,		None,		2 GB Integrated,				Lithium ion Rechargeable Player batteryIntegrated,		MP3,,Protected WMA (DRM),,WMA,,AAC,		12 hour(s),		
33490421		Samsung		Digital player / radio,		None,		8 GB Integrated,		3 in,		Lithium polymer Rechargeable Player battery,		MPEG 2.5 Audio,,MPEG 2 Audio,,MPEG 1 Audio,,MP3,,WMA,,FLAC,,Ogg Vorbis,,AAC,,AAC-LC,		30 hour(s),		
33490422		Samsung		Digital player / radio,		None,		16 GB Integrated,		3 in,		Lithium polymer Rechargeable Player battery,		MPEG 2.5 Audio,,MPEG 2 Audio,,MPEG 1 Audio,,MP3,,WMA,,FLAC,,Ogg Vorbis,,AAC,,AAC-LC,		30 hour(s),		
33596243		Samsung		Digital player / radio,		None,		32 GB Integrated,		3 in,		Lithium polymer Rechargeable Player battery,		MPEG 2.5 Audio,,MPEG 2 Audio,,MPEG 1 Audio,,MP3,,WMA,,FLAC,,Ogg Vorbis,,AAC,,AAC-LC,		30 hour(s),		
33749091		Samsung		Digital player / radio,		None,		32 GB Integrated,		3 in,		Lithium polymer Rechargeable Player battery,		MPEG 2.5 Audio,,MPEG 2 Audio,,MPEG 1 Audio,,AAC +,,OGG,,MP3,,WMA,,ASF,,FLAC,,AAC,,AAC-LC,		30 hour(s),		
